,Dates,Country,Market Name,Currency,Exchange_Rate
0,2026-01-01,Afghanistan,Badakhshan,AFN,66.0
2,2026-03-01,Afghanistan,Badakhshan,AFN,64.27
4,2026-01-01,Afghanistan,Badghis,AFN,66.0
5,2026-02-01,Afghanistan,Badghis,AFN,64.07
6,2026-03-01,Afghanistan,Badghis,AFN,64.95
8,2026-01-01,Afghanistan,Baghlan,AFN,66.48
9,2026-02-01,Afghanistan,Baghlan,AFN,64.14
10,2026-03-01,Afghanistan,Baghlan,AFN,64.27
12,2026-01-01,Afghanistan,Balkh,AFN,66.26
13,2026-02-01,Afghanistan,Balkh,AFN,64.32
16,2026-01-01,Afghanistan,Bamyan,AFN,66.0
17,2026-02-01,Afghanistan,Bamyan,AFN,65.07
18,2026-03-01,Afghanistan,Bamyan,AFN,64.95
20,2026-01-01,Afghanistan,Daykundi,AFN,66.48
21,2026-02-01,Afghanistan,Daykundi,AFN,64.39
22,2026-03-01,Afghanistan,Daykundi,AFN,64.91
24,2026-01-01,Afghanistan,Farah,AFN,66.26
25,2026-02-01,Afghanistan,Farah,AFN,63.86
26,2026-03-01,Afghanistan,Farah,AFN,64.59
29,2026-02-01,Afghanistan,Faryab,AFN,63.86
30,2026-03-01,Afghanistan,Faryab,AFN,64.27
40,2026-01-01,Afghanistan,Ghazni,AFN,66.0
41,2026-02-01,Afghanistan,Ghazni,AFN,63.82
42,2026-03-01,Afghanistan,Ghazni,AFN,64.95
44,2026-01-01,Afghanistan,Ghor,AFN,66.52
45,2026-02-01,Afghanistan,Ghor,AFN,63.86
46,2026-03-01,Afghanistan,Ghor,AFN,64.91
49,2026-02-01,Afghanistan,Hilmand,AFN,64.11
53,2026-02-01,Afghanistan,Hirat,AFN,64.11
54,2026-03-01,Afghanistan,Hirat,AFN,64.91
60,2026-01-01,Afghanistan,Jawzjan,AFN,66.0
61,2026-02-01,Afghanistan,Jawzjan,AFN,63.86
62,2026-03-01,Afghanistan,Jawzjan,AFN,64.27
64,2026-01-01,Afghanistan,Kabul,AFN,66.0
65,2026-02-01,Afghanistan,Kabul,AFN,64.07
66,2026-03-01,Afghanistan,Kabul,AFN,64.32
68,2026-01-01,Afghanistan,Kandahar,AFN,66.26
69,2026-02-01,Afghanistan,Kandahar,AFN,64.57
70,2026-03-01,Afghanistan,Kandahar,AFN,64.32
73,2026-02-01,Afghanistan,Kapisa,AFN,64.11
74,2026-03-01,Afghanistan,Kapisa,AFN,63.64
76,2026-01-01,Afghanistan,Khost,AFN,66.0
77,2026-02-01,Afghanistan,Khost,AFN,63.86
78,2026-03-01,Afghanistan,Khost,AFN,64.91
80,2026-01-01,Afghanistan,Kunar,AFN,66.26
81,2026-02-01,Afghanistan,Kunar,AFN,64.61
82,2026-03-01,Afghanistan,Kunar,AFN,64.27
84,2026-01-01,Afghanistan,Kunduz,AFN,66.22
85,2026-02-01,Afghanistan,Kunduz,AFN,64.11
86,2026-03-01,Afghanistan,Kunduz,AFN,64.64
88,2026-01-01,Afghanistan,Laghman,AFN,66.26
89,2026-02-01,Afghanistan,Laghman,AFN,64.36
90,2026-03-01,Afghanistan,Laghman,AFN,64.91
93,2026-02-01,Afghanistan,Logar,AFN,64.61
94,2026-03-01,Afghanistan,Logar,AFN,64.59
96,2026-01-01,Afghanistan,Maidan Wardak,AFN,66.0
97,2026-02-01,Afghanistan,Maidan Wardak,AFN,64.07
98,2026-03-01,Afghanistan,Maidan Wardak,AFN,64.95
108,2026-01-01,Afghanistan,Nangarhar,AFN,66.26
109,2026-02-01,Afghanistan,Nangarhar,AFN,64.11
110,2026-03-01,Afghanistan,Nangarhar,AFN,64.91
116,2026-01-01,Afghanistan,Nimroz,AFN,66.48
117,2026-02-01,Afghanistan,Nimroz,AFN,64.36
118,2026-03-01,Afghanistan,Nimroz,AFN,64.64
124,2026-01-01,Afghanistan,Paktika,AFN,66.0
126,2026-03-01,Afghanistan,Paktika,AFN,64.91
128,2026-01-01,Afghanistan,Paktya,AFN,66.26
129,2026-02-01,Afghanistan,Paktya,AFN,64.61
130,2026-03-01,Afghanistan,Paktya,AFN,64.91
132,2026-01-01,Afghanistan,Panjsher,AFN,66.0
133,2026-02-01,Afghanistan,Panjsher,AFN,63.86
134,2026-03-01,Afghanistan,Panjsher,AFN,63.95
136,2026-01-01,Afghanistan,Parwan,AFN,66.0
138,2026-03-01,Afghanistan,Parwan,AFN,63.95
140,2026-01-01,Afghanistan,Samangan,AFN,66.0
141,2026-02-01,Afghanistan,Samangan,AFN,64.11
144,2026-01-01,Afghanistan,Sar-e-Pul,AFN,66.0
145,2026-02-01,Afghanistan,Sar-e-Pul,AFN,63.86
146,2026-03-01,Afghanistan,Sar-e-Pul,AFN,65.23
148,2026-01-01,Afghanistan,Takhar,AFN,66.26
149,2026-02-01,Afghanistan,Takhar,AFN,63.57
150,2026-03-01,Afghanistan,Takhar,AFN,64.95
152,2026-01-01,Afghanistan,Uruzgan,AFN,66.26
153,2026-02-01,Afghanistan,Uruzgan,AFN,64.61
156,2026-01-01,Afghanistan,Zabul,AFN,66.48
157,2026-02-01,Afghanistan,Zabul,AFN,63.89
158,2026-03-01,Afghanistan,Zabul,AFN,64.27
160,2026-01-01,Afghanistan,Market Average,AFN,66.0
162,2026-03-01,Afghanistan,Market Average,AFN,64.27
164,2026-01-01,Armenia,Armavir,AMD,379.98
165,2026-02-01,Armenia,Armavir,AMD,377.55
166,2026-03-01,Armenia,Armavir,AMD,377.2
167,2026-04-01,Armenia,Armavir,AMD,377.24
168,2026-01-01,Armenia,Artashat,AMD,379.98
169,2026-02-01,Armenia,Artashat,AMD,377.55
170,2026-03-01,Armenia,Artashat,AMD,377.2
171,2026-04-01,Armenia,Artashat,AMD,377.24
172,2026-01-01,Armenia,Ashtarak,AMD,379.98
173,2026-02-01,Armenia,Ashtarak,AMD,377.55
174,2026-03-01,Armenia,Ashtarak,AMD,377.2
175,2026-04-01,Armenia,Ashtarak,AMD,377.24
176,2026-01-01,Armenia,Berd,AMD,379.98
177,2026-02-01,Armenia,Berd,AMD,377.55
178,2026-03-01,Armenia,Berd,AMD,377.2
179,2026-04-01,Armenia,Berd,AMD,377.24
180,2026-01-01,Armenia,Gavar,AMD,379.98
181,2026-02-01,Armenia,Gavar,AMD,377.55
182,2026-03-01,Armenia,Gavar,AMD,377.2
183,2026-04-01,Armenia,Gavar,AMD,377.24
184,2026-01-01,Armenia,Gyumri,AMD,379.98
185,2026-02-01,Armenia,Gyumri,AMD,377.55
186,2026-03-01,Armenia,Gyumri,AMD,377.2
187,2026-04-01,Armenia,Gyumri,AMD,377.24
188,2026-01-01,Armenia,Hrazdan,AMD,379.98
189,2026-02-01,Armenia,Hrazdan,AMD,377.55
190,2026-03-01,Armenia,Hrazdan,AMD,377.2
191,2026-04-01,Armenia,Hrazdan,AMD,377.24
192,2026-01-01,Armenia,Ijevan,AMD,379.98
193,2026-02-01,Armenia,Ijevan,AMD,377.55
194,2026-03-01,Armenia,Ijevan,AMD,377.2
195,2026-04-01,Armenia,Ijevan,AMD,377.24
196,2026-01-01,Armenia,Kapan,AMD,379.98
197,2026-02-01,Armenia,Kapan,AMD,377.55
198,2026-03-01,Armenia,Kapan,AMD,377.2
199,2026-04-01,Armenia,Kapan,AMD,377.24
200,2026-01-01,Armenia,Vagharshapat,AMD,379.98
201,2026-02-01,Armenia,Vagharshapat,AMD,377.55
202,2026-03-01,Armenia,Vagharshapat,AMD,377.2
203,2026-04-01,Armenia,Vagharshapat,AMD,377.24
204,2026-01-01,Armenia,Vanadzor,AMD,379.98
205,2026-02-01,Armenia,Vanadzor,AMD,377.55
206,2026-03-01,Armenia,Vanadzor,AMD,377.2
207,2026-04-01,Armenia,Vanadzor,AMD,377.24
208,2026-01-01,Armenia,Yeghegnadzor,AMD,379.98
209,2026-02-01,Armenia,Yeghegnadzor,AMD,377.55
210,2026-03-01,Armenia,Yeghegnadzor,AMD,377.2
211,2026-04-01,Armenia,Yeghegnadzor,AMD,377.24
212,2026-01-01,Armenia,Yerevan,AMD,379.98
213,2026-02-01,Armenia,Yerevan,AMD,377.55
214,2026-03-01,Armenia,Yerevan,AMD,377.2
215,2026-04-01,Armenia,Yerevan,AMD,377.24
216,2026-01-01,Armenia,Market Average,AMD,379.98
217,2026-02-01,Armenia,Market Average,AMD,377.55
218,2026-03-01,Armenia,Market Average,AMD,377.2
219,2026-04-01,Armenia,Market Average,AMD,377.24
220,2026-01-01,Burundi,Bandaga,BIF,2940.68
221,2026-02-01,Burundi,Bandaga,BIF,2963.53
222,2026-03-01,Burundi,Bandaga,BIF,2968.76
223,2026-04-01,Burundi,Bandaga,BIF,2981.52
224,2026-01-01,Burundi,Biyogwa,BIF,2940.68
225,2026-02-01,Burundi,Biyogwa,BIF,2963.53
226,2026-03-01,Burundi,Biyogwa,BIF,2968.76
227,2026-04-01,Burundi,Biyogwa,BIF,2981.52
228,2026-01-01,Burundi,Biyorwa,BIF,2940.68
229,2026-02-01,Burundi,Biyorwa,BIF,2963.53
230,2026-03-01,Burundi,Biyorwa,BIF,2968.76
231,2026-04-01,Burundi,Biyorwa,BIF,2981.52
232,2026-01-01,Burundi,Bubanza,BIF,2940.68
233,2026-02-01,Burundi,Bubanza,BIF,2963.53
234,2026-03-01,Burundi,Bubanza,BIF,2968.76
235,2026-04-01,Burundi,Bubanza,BIF,2981.52
236,2026-01-01,Burundi,Buhiga,BIF,2940.68
237,2026-02-01,Burundi,Buhiga,BIF,2963.53
238,2026-03-01,Burundi,Buhiga,BIF,2968.76
